PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,n_moves
7rbFB,4rr1k/pp4Rp/2p1qp2/8/3Q4/4p1RP/PPP3P1/7K b - - 1 29,e3e2 g7h7 h8h7 d4h4,1284,74,96,24053,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/D63HZ125/black#58,,,4
UQhab,6k1/5p2/4b1p1/P1B1p2p/2p1q3/2Q1b2P/r1N3P1/3R2K1 w - - 0 35,c5e3 a2c2 c3c2 e4c2,1173,77,94,2155,crushing middlegame short,https://lichess.org/7babWhul#69,,,4
lhM3p,8/p4pk1/3B3p/1p3p2/1P2r2P/5KP1/5P2/8 b - - 3 36,e4d4 d6e5 g7f8 e5d4,1010,76,87,161,crushing endgame fork short,https://lichess.org/hJGVCKxe/black#72,,,4
cuDX8,1rbr2k1/pp3ppp/2p1p3/4N3/3PB3/PnP3Pq/1P2QP1P/1R2K2R w K - 7 20,e4g2 h3g2 e2f3 g2f3,1080,78,92,168,advantage hangingPiece middlegame short,https://lichess.org/0s99Fvgu#39,,,4
V0mew,1r5r/3b1pQp/p1Bkp3/2p5/5P2/P2PnN2/2P2RPP/Rq4K1 w - - 1 24,a1b1 b8b1 f3e1 b1e1 f2f1 e1f1,1130,87,94,523,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/z3GQ1INH#47,,,6
H4M8l,5r2/5p1k/1qp2Qp1/2pprb2/p4R2/3P4/PPP3P1/R6K b - - 1 30,e5e6 f4h4 h7g8 h4h8,1127,79,92,437,killBoxMate mate mateIn2 middlegame short,https://lichess.org/EsXy0her/black#60,,,4
uu6uD,8/r1q2ppk/2p5/2p1p2p/P1PrP3/1Q5P/5PP1/RR4K1 w - - 3 32,b3b6 d4d1 b1d1 c7b6,1108,83,94,3460,advantage deflection endgame master short,https://lichess.org/35IsOxtN#63,,,4
SX8EZ,3R4/1r3pk1/1P2q1p1/4b3/4p3/6PP/5QK1/1R6 w - - 5 38,f2c5 e6a2 g2g1 a2b1,1019,78,72,119,crushing endgame fork short,https://lichess.org/m5xaoJMj#75,,,4
pJg1l,4q3/1p2p2k/p2p2bp/2pPb3/2P3P1/2NB3P/PP1Q4/6K1 w - - 2 27,d2e3 e5d4 e3d4 c5d4,1210,78,91,86,crushing endgame pin short,https://lichess.org/Vsl4EfY9#53,,,4
4DMHL,3rr1k1/p4pp1/1ppq1np1/8/2PPN3/3Q4/P5PP/4RRK1 b - - 6 22,d6d4 d3d4 d8d4 e4f6 g7f6 e1e8,1279,75,99,3411,advantage discoveredAttack kingsideAttack long middlegame,https://lichess.org/YuNPcXVF/black#44,,,6
JXBfZ,7k/p4pp1/2b1r2p/1pR5/3qN3/7P/2Q3P1/4R1K1 w - - 2 34,g1h1 c6e4 c5c8 h8h7,1227,76,86,284,crushing defensiveMove middlegame short,https://lichess.org/17wkZ1ck#67,,,4
bkK7W,8/1p4kp/p4Rp1/4r1P1/6q1/PB6/1PR5/1K6 b - - 1 36,g4g5 f6f7 g7h6 c2h2,1265,75,100,1320,advantage endgame short,https://lichess.org/K66ARShl/black#72,,,4
8XYwu,4r2r/nkp2p1p/1p1q1p2/pP1b4/P2PBP2/4PQP1/3N3P/2R2RK1 b - - 2 23,d5e4 d2e4 e8e4 f3e4,1160,124,69,17,crushing middlegame short,https://lichess.org/M9xUYHSi/black#46,,,4
EdHC5,r2qr1k1/p3bp2/1p2bR1Q/3pP1n1/3p4/1PN1B2P/1PP3P1/R6K b - - 1 22,e7f6 e5f6 d8f6 h6f6,1174,280,5,2,crushing middlegame short,https://lichess.org/2kthXVad/black#44,,,4
Azwdt,6rk/1p1n2rp/p1p1p1p1/P2pPpR1/NP1P1P1q/5R1P/3Q2PK/8 b - - 3 33,h7h6 g2g3 h4h3 h2h3,1239,79,92,2598,crushing middlegame short trappedPiece,https://lichess.org/BeZQXd9n/black#66,,,4
KdjCm,r1r5/P4p2/2pp2k1/3PnN2/4P1p1/4P1Pp/7P/R4RK1 b - - 3 36,c6d5 f5e7 g6g7 e7c8,1092,90,86,42,crushing endgame fork short,https://lichess.org/31tmiDuz/black#72,,,4
9ndln,r1bqk2r/p4ppp/1pnp1b2/4p3/4P3/1NN5/PPPQ1PPP/R3KB1R w KQkq - 0 10,e1c1 f6g5 f2f4 g5f4 d2f4 e5f4,1241,76,92,734,advantage long opening pin,https://lichess.org/r5vHrrY6#19,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,,6
m1ncL,2r2rk1/p4p2/1p1q1bpp/3B4/4Q3/8/PP3PPP/R2R2K1 b - - 0 25,f6b2 d5f7 f8f7 d1d6,1193,76,85,476,crushing discoveredAttack middlegame short,https://lichess.org/PGlVSy91/black#50,,,4
fpX7T,2r3k1/R4p1p/4n1p1/1p1pB3/6P1/3P1Q1P/5PK1/4q3 b - - 4 31,e1e5 f3f7 g8h8 f7h7,1066,76,100,217,endgame mate mateIn2 short,https://lichess.org/P9p3w85n/black#62,,,4
yDeyc,r1b2rk1/2p4p/p1n1pqp1/1p1pN3/3P3n/2PB4/PP1N1PPP/R2QR1K1 w - - 2 15,e5c6 f6f2 g1h1 f2g2,1030,78,66,105,kingsideAttack mate mateIn2 opening short,https://lichess.org/tuLzvVRH#29,Modern_Defense Modern_Defense_Other_variations,,4
jo9rH,1k6/1pp5/p1q4p/8/4N1QP/2P2K2/Pr5P/8 b - - 1 28,b2h2 g4g8 b8a7 g8g1 b7b6 g1h2,1145,78,94,8930,advantage endgame fork long,https://lichess.org/GH61WFfS/black#56,,,6
S26Z5,7k/1p4bp/p1p1n1p1/2Pp4/1P1P4/P6P/1B3r2/1BK1R3 b - - 0 29,e6d4 e1e8 f2f8 e8f8 g7f8 b2d4,1172,78,89,193,advantage endgame long,https://lichess.org/G7otLx7X/black#58,,,6
Md66f,2r4k/2p3bp/p1n1q1p1/1p3n2/4Bp2/1PP5/PB1P2PP/R2QR2K w - - 1 26,d1g4 f5g3 g4g3 f4g3,1098,88,95,1323,crushing kingsideAttack middlegame short,https://lichess.org/MhpsPdII#51,,,4
wOu9e,6k1/pp3p1p/1np1nq1P/6p1/4P3/PPN2PP1/3QN1K1/8 w - - 2 32,d2d6 e6f4 d6f4 g5f4,1199,87,91,1312,advantage endgame master short,https://lichess.org/lMI4QC46#63,,,4
Qmser,r6r/1ppkp1b1/3p3p/R2Np3/2P2qpQ/8/1P3PPP/R5K1 b - - 3 25,a8a5 h4e7 d7c6 e7c7,1285,76,96,27886,fork mate mateIn2 middlegame short,https://lichess.org/WrMxfkzc/black#50,,,4
qOlVm,8/5RP1/k1p5/3n4/6K1/8/p7/B3r3 w - - 10 49,g7g8q e1g1 g4h3 g1g8,1161,75,95,11728,crushing endgame fork short skewer,https://lichess.org/I8Sd68AH#97,,,4
6LEOD,1k6/1p1n1p2/p3p1q1/K1P5/7r/PQ3B2/1P3P2/3R4 b - - 1 34,d7c5 d1d8 b8a7 b3b6,1183,75,89,382,endgame mate mateIn2 short,https://lichess.org/cwfutD4Q/black#68,,,4
XI2sl,r6k/1p4rP/4p3/1b1p4/3R2P1/1Nq1P3/2P4Q/2K4R w - - 3 27,h2d2 a8a1 b3a1 c3a1,1252,75,88,264,mate mateIn2 middlegame sacrifice short,https://lichess.org/J1mpEtV4#53,,,4
tsYsQ,1R3bk1/5p1p/6p1/8/Pp5P/5PP1/r2r4/4RBK1 b - - 7 38,a2a4 e1e8 g8g7 e8f8,1270,82,76,86,advantage endgame short,https://lichess.org/hDOtpJKT/black#76,,,4
jLv9V,7r/4pk2/2p5/3p1P1p/p2P3P/4BQ2/1rq3P1/5RK1 b - - 1 30,h8g8 f3h5 f7f8 e3h6 g8g7 h6g7,1251,81,83,51,crushing endgame long,https://lichess.org/c5g3zIka/black#60,,,6
wQsMV,3r2kr/2pb2b1/ppn1q1Bp/4p1N1/4Q2R/2P1P1P1/PP3PP1/2K4R b - - 5 20,e6a2 g6f7 a2f7 g5f7,1190,76,96,3146,advantage fork middlegame short,https://lichess.org/7spsKoEL/black#40,,,4
18Qq1,2r2k1r/R1q2p2/2N1p2b/3pPp1p/2n2P1Q/2P4P/2P3P1/R1B4K b - - 6 28,c7c6 h4e7 f8g8 e7f7,1136,75,88,146,mate mateIn2 middlegame short,https://lichess.org/KLkVcZKQ/black#56,,,4
3yIvT,3rr3/pq3kpp/1p1bp3/2pn4/4N3/5PP1/PP1BQK1P/2R4R b - - 4 22,d6e5 e4g5 f7g8 e2e5,1255,78,67,63,advantage discoveredAttack middlegame short,https://lichess.org/tXNY8HuT/black#44,,,4
uLlTR,8/8/8/4p3/7p/2NK1PbP/5kP1/8 w - - 7 60,d3e4 f2g2 e4e3 g2h3,1156,107,69,21,crushing endgame master short,https://lichess.org/zPoQLnLx#119,,,4
2fDYc,b4rk1/R4N1p/1q4pb/1r1P4/4P3/1Q4P1/4B2P/5R1K b - - 0 26,b5b3 f7h6 g8h8 f1f8,1012,76,97,914,discoveredAttack hangingPiece mate mateIn2 middlegame short,https://lichess.org/r6ZSztsJ/black#52,,,4
