PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,n_moves
RK5Sq,r4r2/pp1b1p1k/7p/3pPp2/2qN3Q/2P2R2/2P4P/6RK b - - 3 25,f8g8 h4h6 h7h6 f3h3,1611,77,93,756,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/l1R79714/black#50,,,4
ZSIIg,3q4/4bk1p/p3p1pB/1p5n/2p1N3/2Q5/PPP2PPP/6K1 w - - 0 28,g2g4 d8d1 g1g2 d1g4,1601,74,89,123,crushing endgame kingsideAttack short,https://lichess.org/41FXj5Zx#55,,,4
M8Pva,8/p4p2/8/1p3k1p/1P5P/P4KP1/8/8 b - - 0 34,f5e5 g3g4 e5f6 g4h5,1852,74,80,95,crushing endgame pawnEndgame short,https://lichess.org/5dhnNitr/black#68,,,4
tY8nQ,3rrk2/ppp2pp1/4q2N/3pR3/5B2/P1PP1KQ1/1P6/8 b - - 0 27,e6f6 e5f5 f6e6 f5f7 e6f7 h6f7,1874,75,96,3667,advantage long middlegame,https://lichess.org/GMnxedJ9/black#54,,,6
B28sH,1r6/2R3kp/1P3pp1/p2b1Q2/3q4/8/4rPPP/R4NK1 b - - 3 32,g7h6 f5h3 h6g5 h3g3,1619,75,78,264,crushing master middlegame short,https://lichess.org/MO85am3B/black#64,,,4
GDOlX,2r1k3/1qr2p1p/4p1p1/p2pP1B1/Pp1n4/1P3N1P/4QPP1/R1R3K1 w - - 0 28,e2e3 c7c1 a1c1 c8c1,1779,78,85,66,advantage middlegame short,https://lichess.org/slwiBOes#55,,,4
taNLg,1r6/1P1R2pk/5n1p/4q3/P3p3/3p2PP/5P2/2Q2B1K w - - 1 39,d7c7 d3d2 c1d2 e5c7,1867,74,79,329,advancedPawn crushing deflection endgame short,https://lichess.org/OFzGyAia#77,,,4
VPvFb,1k4rr/pp1n1p2/2pPpp2/1q3b2/1P1P4/P3BN2/5PBp/R1RQ3K w - - 2 20,f3e1 b5f1 g2f1 g8g1,1844,82,57,88,kingsideAttack master mate mateIn2 middlegame sacrifice short,https://lichess.org/nirjS74V#39,,,4
QVr9U,6k1/2P2pp1/7p/1p1P4/3P4/1p4BP/2r2PPK/8 b - - 0 34,b3b2 d5d6 g8h7 d6d7 c2c7 g3c7,1950,79,92,1324,advancedPawn crushing endgame long,https://lichess.org/qpQPWjsu/black#68,,,6
Yrda5,3k4/3b4/3P1p2/8/p1K3P1/4N3/8/8 w - - 0 67,e3d5 d7e6 c4d4 e6d5,1778,74,100,396,crushing endgame master pin short,https://lichess.org/Z2BcVw7H#133,,,4
iIab1,4r1k1/p1p1rp2/3q2pp/3p4/3Nn1Q1/2P5/PP3PPP/3RR1K1 b - - 1 21,e4f2 g1f2 e7e1 d1e1,1931,78,92,918,advantage hangingPiece master middlegame short,https://lichess.org/9MabgNQE/black#42,,,4
rnYbk,r3kbnr/pb3ppp/4p3/4P3/1q6/4B3/1P1NQ1PP/R3KB1R b KQkq - 0 15,f8c5 e2b5 b4b5 f1b5 e8d8 e3c5,1700,75,93,1421,crushing long opening,https://lichess.org/ZAaJWQwv/black#30,Sicilian_Defense Sicilian_Defense_Other_variations,,6
ATNuv,6k1/1p5p/3p2pb/BPrPq3/3pP1P1/P2Q3P/8/1K5R w - - 0 29,a5b6 c5c3 b6d4 c3d3 d4e5 d6e5,1740,119,44,25,advantage endgame long,https://lichess.org/n8D9FDL5#57,,,6
4csH6,rn6/p5p1/2p4k/3p1q2/3p1b1P/1P6/PK2QP2/3R2R1 b - - 1 23,f4e5 g1g5 d4d3 e2e5 f5e5 g5e5,1839,75,88,232,crushing long middlegame xRayAttack,https://lichess.org/wocIuh1Q/black#46,,,6
j5VzU,r1b3k1/ppp2ppp/1bn1r3/4p3/4Nq2/2PP1N1P/PPB2PP1/R2Q1RK1 w - - 4 14,e4g3 f4g3 d3d4 g3f4,1822,74,84,397,crushing middlegame pin short,https://lichess.org/1C3h6oXq#27,Italian_Game Italian_Game_Classical_Variation,,4
