PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,n_moves
yJiMJ,r4rk1/ppp2ppp/4b3/6q1/8/3B1Q2/PPP2PPP/R3R1K1 w - - 4 15,f3b7 e6d5 b7d5 g5d5,1315,79,81,113,crushing middlegame short,https://lichess.org/Cx0FycOy#29,French_Defense French_Defense_Burn_Variation,,4
R7s4c,4rrk1/1b3ppp/2q5/p2N1P2/1pp3P1/7P/PP5Q/1N1RR1K1 w - - 0 27,d5e7 e8e7 e1e7 c6c5 h2f2 c5e7,1344,75,100,256,advantage attraction exposedKing fork long middlegame sacrifice,https://lichess.org/DHh1Omyx#53,,,6
jpKuD,2rr2k1/pb2bppp/1pn2N2/3Q4/6q1/PPN5/1B3PPP/3RR1K1 b - - 4 25,e7f6 d5d8 c8d8 d1d8 c6d8 e1e8,1508,87,75,326,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/WbPlk32W/black#50,,,6
oBZN6,2r5/P2R3p/6pr/1k6/6K1/4B3/2p5/8 b - - 0 57,h6h1 d7b7 b5c6 b7b8 c8b8 a7b8q,1391,79,92,7760,advancedPawn advantage endgame long master promotion,https://lichess.org/HRqy1Zrn/black#114,,,6
rWLAZ,8/1k5p/8/1P1K1p2/4p3/6P1/7P/8 w - - 0 43,g3g4 e4e3 g4f5 e3e2,1393,76,81,161,advancedPawn crushing endgame pawnEndgame short,https://lichess.org/jHuOL2un#85,,,4
c9kqz,8/8/3P4/8/1Pp3k1/7r/1PP1p2P/5RK1 w - - 0 35,f1e1 g4f3 d6d7 h3h8 e1e2 f3e2 d7d8q h8d8,1439,81,77,56,crushing endgame rookEndgame veryLong,https://lichess.org/PfTnzRxA#69,,,8
r7GZw,r1b1k1nr/ppp1bppp/2n3q1/4p3/8/3P1NNP/PPP2PP1/R1BQKB1R b KQkq - 2 8,g8f6 f3h4 g6g3 f2g3,1576,75,88,857,crushing opening short trappedPiece,https://lichess.org/IaxYVNwU/black#16,Nimzowitsch_Defense Nimzowitsch_Defense_Declined_Variation,,4
ADVUR,8/6pp/4p3/2k5/3p4/2pQ1P2/3r2PP/4K3 w - - 6 40,d3b1 c3c2 b1b2 d2d1 e1f2 c2c1q,1372,75,100,696,advancedPawn crushing endgame exposedKing long promotion queenRookEndgame,https://lichess.org/SCcMsOiF#79,,,6
4KDWc,r5k1/pppb1ppp/2n2q2/1B1pN3/3P4/2P4P/P1P2PP1/R3Q1K1 b - - 2 15,a8e8 e5d7 e8e1 a1e1 f6e7 e1e7,1563,74,74,331,advantage long middlegame,https://lichess.org/xNl1PhE3/black#30,French_Defense French_Defense_Queens_Knight,,6
tPgqp,r4b1r/ppp2p2/2kp2qp/3N3R/4PBb1/3P4/PPP1Q1P1/R3K3 w Q - 0 18,d5b4 c6d7 e2g4 g6g4,1318,91,0,30,crushing middlegame short,https://lichess.org/PLnDHFBx#35,Philidor_Defense Philidor_Defense_Other_variations,,4
PSFa9,2rr2k1/pp3pp1/2q1p2p/5nQ1/1P6/P7/B4PPP/3R1RK1 w - - 0 23,g5d8 c8d8 d1d8 g8h7,1387,111,100,75,equality middlegame short,https://lichess.org/5BTVV2jr#45,,,4
DoiDx,8/2R4p/5kp1/8/1pK2PP1/3Pn3/4r3/6R1 w - - 3 48,c4b4 e3d5 b4c4 d5c7,1531,105,70,22,crushing endgame fork master masterVsMaster short,https://lichess.org/2p3383bD#95,,,4
DehYA,3R4/5pk1/3Q2p1/2p1p1Kp/2P1P3/1P4P1/5PqP/6r1 b - - 1 38,g2f2 d6f8 g7h7 f8h6,1456,78,91,17168,endgame master mate mateIn2 short,https://lichess.org/1ueVBNNf/black#76,,,4
iTi0i,8/8/2kbp3/3p1pP1/K2P4/3N3P/8/8 b - - 0 45,f5f4 g5g6 d6f8 d3f4,1592,75,91,394,crushing endgame short,https://lichess.org/ivUmDgkc/black#90,,,4
1qSlg,r5k1/pp1q1p2/8/R1b1P1r1/3p4/3PpQ1P/1PP3P1/5R1K b - - 1 25,c5b6 e5e6 b6a5 e6d7,1506,77,86,188,advancedPawn advantage middlegame short,https://lichess.org/ULmdzLTQ/black#50,,,4
zCN7i,4rk1r/ppp2ppp/3b4/1Nn5/q5b1/P2P1QP1/1PP2PBP/R1B2RK1 w - - 1 18,b5c3 g4f3 c3a4 f3g2 g1g2 c5a4,1443,75,93,7234,advantage long middlegame,https://lichess.org/NIjAwjhq#35,Italian_Game Italian_Game_Two_Knights_Defense,,6
