PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate,n_moves
mKf8W,6r1/8/1p2kn1p/1Brp1p2/Pb3P2/5R1P/1BP1NP1K/8 b - - 4 31,c5c2 e2d4 e6f7 d4c2,1149,75,100,972,advantage fork master middlegame short,https://lichess.org/jBksHeZz/black#62,,,4
3BjJC,r4k1n/pp5R/1b2BPp1/n1p3P1/1Q2PB2/3q2K1/P7/R7 w - - 5 40,g3f2 c5b4 f2g2 d3e4,1435,78,94,12589,crushing discoveredAttack discoveredCheck hangingPiece middlegame short,https://lichess.org/NYZuAkSo#79,,,4
w8mKd,1k1r3r/1p3pbp/p4Np1/3qp3/5B2/5Q2/PP3PPP/2R2RK1 b - - 0 19,d5f3 f4e5 b8a7 g2f3,1427,84,90,78,advantage intermezzo middlegame short,https://lichess.org/8i5AgU5t/black#38,,,4
Flr8V,r2q1rk1/pb2bpp1/1p2pn1p/8/3p2NB/2PQP3/P1B2PPP/R4RK1 b - - 3 16,b7e4 g4f6 e7f6 d3e4,1239,76,84,329,advantage kingsideAttack middlegame short,https://lichess.org/6eABVNDI/black#32,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,,4
MBoUn,2k1r1r1/p3bQ2/Pp2R3/1p1q3P/2nP1p2/2P2NB1/5PP1/R5K1 b - - 0 23,f4g3 e6e7 d5f7 e7f7,1376,76,93,143,advantage middlegame short,https://lichess.org/KjiuW5dN/black#46,,,4
C6gsr,6r1/5R2/2kpq2r/2p3Q1/Pp1bP3/1P1P3P/6P1/5R1K w - - 6 31,g5g8 h6h3 g2h3 e6h3,1145,99,100,30,endgame mate mateIn2 sacrifice short,https://lichess.org/CRLi7ml8#61,,,4
J4bnC,8/6pk/5r1p/1PQ5/4p3/7P/1q3PP1/4R1K1 w - - 2 37,e1e4 b2b1 g1h2 b1e4,1322,75,86,1009,crushing endgame fork short,https://lichess.org/QUlSMC74#73,,,4
KbyHz,r3rk2/2pq1p1R/p1bb2p1/1p2p1P1/3B1Q2/1BP5/2P2PP1/1K6 b - - 3 24,e5f4 h7h8 f8e7 d4f6,1140,79,93,1048,mate mateIn2 middlegame short,https://lichess.org/VF7eSqRd/black#48,,,4
UcQxD,8/2p5/1k1N4/2b2K2/p4P2/8/3r3P/R7 b - - 2 45,c7c6 d6c4 b6b5 c4d2,1113,76,84,404,crushing endgame fork master short,https://lichess.org/5jGJK1rH/black#90,,,4
Ilv7B,8/5p2/3p3k/2r1n2P/1K2R3/1P6/8/7R w - - 2 45,e4f4 e5d3 b4a4 d3f4,1170,159,33,27,advantage endgame fork short,https://lichess.org/pxPgQbS2#89,,,4
4VNf0,8/r5p1/1k2p3/1pRp1p1p/pB1PbP1P/P3K3/8/8 b - - 1 47,a7c7 b4a5 b6a5 c5c7,1088,78,95,602,crushing deflection endgame master short,https://lichess.org/S15P0SmJ/black#94,,,4
fokvb,8/pp1b2Q1/3kp1P1/n2p4/3Pn3/2P5/PPK4r/4R3 w - - 1 40,c2d3 h2d2 d3e3 a5c4 e3f4 d2f2,1421,76,91,947,crushing endgame long,https://lichess.org/XXWOwlgY#79,,,6
euIUA,r4rk1/p1p3pp/1p2p3/7q/2NPp1n1/P1P5/2PBQPP1/1R2R1K1 w - - 0 19,e2e4 h5h2 g1f1 f8f2,1385,75,96,10192,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/0C7nBzFP#37,,,4
ZvgAL,4r3/6k1/3P1bp1/7p/4N3/1pPR4/1P6/1K6 w - - 1 39,e4f6 e8e1 d3d1 e1d1,1253,155,82,6,endgame mate mateIn2 short,https://lichess.org/yBhsgpDu#77,,,4
Pcica,3k1bnr/ppp2ppp/8/q7/2P5/2pQ1P2/PP3P1P/4KB1R b K - 1 13,d8c8 f1h3 f7f5 h3f5 a5f5 d3f5,1178,76,90,295,crushing long middlegame,https://lichess.org/TYhDfkau/black#26,Nimzowitsch_Defense Nimzowitsch_Defense_Scandinavian_Variation,,6
PYLI2,rnb1k1r1/pp3p1R/2pb1q1n/3p3p/3P4/2N1PN1P/PPQ2P2/R1B1KB2 w Qq - 0 13,c3d5 f6f3 c2e4 f3e4,1240,80,87,5406,advantage hangingPiece master opening short,https://lichess.org/mUG9bnHe#25,Semi-Slav_Defense Semi-Slav_Defense_Main_Line,,4
eFreO,4r1k1/p4pp1/8/6PP/2pP4/P1Pb1R2/3Br3/2R3K1 w - - 1 33,f3f2 e2f2 g1f2 e8e2 f2f3 e2d2,1275,73,96,15166,advantage attraction endgame exposedKing fork long,https://lichess.org/QnA1NgTY#65,,,6
cqkM4,2r4k/pQ3pp1/1p2nq1p/8/8/r3P1N1/4RPPP/5RK1 b - - 1 29,a3c3 g3e4 f6g6 e4c3,1344,76,85,963,advantage fork middlegame short,https://lichess.org/byuJS0tW/black#58,,,4
VB9pQ,5R2/8/8/5ppp/3K1nk1/8/4P2P/8 w - - 6 52,e2e3 f4e6 d4c4 e6f8,1014,106,88,42,crushing endgame fork master masterVsMaster short,https://lichess.org/IBFWjxyC#103,,,4
CHykB,3r2kr/1b5n/p3p1p1/3qP3/2p2Q2/4BPR1/PPP4P/5RK1 b - - 1 27,g6g5 g3g5 h7g5 f4g5 g8f7 g5f6 f7e8 f6h8,1397,76,84,169,crushing exposedKing interference kingsideAttack middlegame veryLong,https://lichess.org/0diu3rff/black#54,,,8
VH1NF,6k1/2qr1p1p/2p2Np1/pp2P1P1/5PQ1/P3b3/1PP5/5K2 b - - 1 30,g8g7 f6e8 g7f8 e8c7,1274,80,89,952,advantage endgame fork short,https://lichess.org/9ru1wZog/black#60,,,4
kUH51,2k1r2r/1ppq1p2/p1nb1n1p/3p1Np1/3P4/1PN1PQP1/PBP3KP/R4R2 b - - 1 18,g5g4 f5d6 d7d6 f3f6 d6f6 f1f6,1370,75,94,24162,crushing discoveredAttack long middlegame,https://lichess.org/S9T6zAEy/black#36,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,,6
qHCWa,8/5r2/6KP/2k5/1p6/8/7R/8 b - - 1 48,f7c7 h2c2 c5b6 c2c7 b6c7 h6h7,1448,77,100,927,advancedPawn crushing endgame long rookEndgame,https://lichess.org/L8wyafjx/black#96,,,6
szI9q,6k1/p4pb1/1qp1p1pp/4N3/1r3n2/PN3Q2/1P2bPPP/R3R1K1 w - - 1 23,e1e2 f4e2 f3e2 b4b3,1288,77,94,1398,advantage master middlegame short,https://lichess.org/ZgnKxoel#45,,,4
qsydW,rn2kb1r/ppp2ppp/3qpn2/8/2BP2b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 1 7,c3b5 d6b4 c2c3 b4c4,1098,80,84,204,crushing fork opening short,https://lichess.org/yrhLuRuW#13,Scandinavian_Defense Scandinavian_Defense_Gubinsky-Melts_Defense,,4
cpbnc,4k3/2Q4p/3r4/P2Pp1b1/1P6/6q1/6N1/3R2K1 w - - 0 35,c7d6 g5e3 g1h1 g3h3,1063,75,100,474,endgame mate mateIn2 short,https://lichess.org/Nw2OKZCS#69,,,4
P4tuk,5rk1/pp3rp1/2p3p1/3pB1qp/2PP4/3Q3P/P1P1R1K1/R7 w - - 0 26,g2h2 f7f2 e2f2 f8f2 h2h1 g5g2,1084,76,96,4003,long mate mateIn3 middlegame,https://lichess.org/NVWaeNt8#51,,,6
DFX2e,5q2/2Q2p1k/5P1p/r2r2p1/1P1P2P1/p1P1b2P/R5K1/8 b - - 0 41,f8d8 c7f7 h7h8 f7g7,1108,84,88,392,endgame mate mateIn2 short,https://lichess.org/xAQckwLn/black#82,,,4
eiIGW,r2qkb1r/pp4pp/5n2/2pBn3/8/8/PP3PPP/RNBQK2R w KQkq - 1 12,c1g5 d8d5 d1d5 f6d5,1293,121,40,18,advantage opening short,https://lichess.org/5tS4jInU#23,French_Defense French_Defense_Advance_Variation,,4
wEAVd,7k/p1p1r1rp/1pB1pQ2/5p2/2qP1K2/6R1/P5PP/8 b - - 1 36,c4c6 f6f8 g7g8 g3g8,1318,76,73,137,endgame mate mateIn2 short,https://lichess.org/zL2TcoHz/black#72,,,4
qtGKS,r2qrbk1/pp1b1pp1/n1p2n2/3p2N1/3P1B1P/2NBP3/PPQ2P2/2KR3R b - - 0 15,a6b4 d3h7 f6h7 c2h7,1095,78,85,347,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/ggtrHs1k/black#30,Queens_Pawn_Game Queens_Pawn_Game_Other_variations,,4
nTHVR,8/3k4/7K/2p1r1p1/8/4P1R1/7P/8 w - - 0 44,g3g5 e5g5 h6g5 c5c4 e3e4 c4c3,1458,76,90,905,crushing endgame long quietMove rookEndgame,https://lichess.org/sobPx2oD#87,,,6
UrNXc,rn2kr2/p3n1Qp/1pp1R3/2b3B1/2B5/8/PPP2PPP/RN1q2K1 w q - 3 14,c4f1 c5f2 g1h1 d1f1,1092,84,100,306,deflection kingsideAttack mate mateIn2 opening short,https://lichess.org/ofRIZ8LT#27,Bishops_Opening Bishops_Opening_Urusov_Gambit,,4
4Vkzz,3r2k1/1Q3ppp/p3p3/4P1B1/8/6P1/P1r1qb1P/1R3R1K b - - 7 22,f2g3 b7f7 g8h8 f7f8 d8f8 f1f8,1351,77,91,199,backRankMate long mate mateIn3 middlegame sacrifice,https://lichess.org/9ogiBQZ9/black#44,,,6
O2nYD,r2q1rk1/ppp2pbp/3pbnp1/3Np3/2PnPP2/3P2PN/PP4BP/R1BQ1R1K b - - 0 12,e6g4 d5f6 g7f6 d1g4 h7h5 g4d1,1308,75,93,1609,advantage long middlegame,https://lichess.org/PUNBRLtW/black#24,English_Opening English_Opening_Other_variations,,6
VVgW4,r6k/pb1q1prp/1p2pQ2/8/2BP4/2P5/P4PPP/R4RK1 w - - 1 18,g2g3 d7c6 f2f3 c6c4,1302,74,97,1205,advantage master middlegame short,https://lichess.org/jLrQyKfR#35,Nimzo-Indian_Defense Nimzo-Indian_Defense_Normal_Variation,,4
BiwrD,Qn3rk1/p1p2pp1/3b4/5p1p/3P4/2N2NqP/PP2B3/R1B2R1K w - - 0 17,f1g1 g3h3 f3h2 h3h2,1233,81,94,2390,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/POT8o6cb#33,Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense,,4
I6JZo,5k2/2KR4/4P3/6p1/8/8/8/3r4 b - - 3 66,d1c1 c7d8 c1e1 e6e7 e1e7 d7e7,1424,76,59,421,advancedPawn crushing defensiveMove endgame exposedKing long rookEndgame,https://lichess.org/tqFWtdbz/black#132,,,6
Iz4fi,8/5p1p/4r1pk/8/1Q3P2/2P4P/r3q1P1/6RK b - - 0 29,e6e3 b4f8 h6h5 g2g4 e2g4 h3g4 h5h4 f8h6,1162,77,62,157,endgame mate mateIn4 veryLong,https://lichess.org/0gkdkRcy/black#58,,,8
gRTUc,8/5pk1/7p/r3PKp1/2R5/8/8/8 b - - 1 49,f7f6 c4c7 g7f8 f5f6,1050,78,86,204,advantage deflection endgame rookEndgame short,https://lichess.org/jRvdvTnj/black#98,,,4
AgseQ,r1b1r1k1/1pp2ppp/1pq5/3n4/1P6/2PQ1B2/P4PPP/RN3RK1 b - - 1 14,d5f4 f3c6 f4d3 c6e8,1028,92,88,220,advantage middlegame short,https://lichess.org/21ukisYt/black#28,Scotch_Game Scotch_Game_Classical_Variation,,4
0qHIj,2Q5/pp3Npk/4p3/3q3p/P2r4/1P5P/5Pb1/4R1K1 b - - 1 31,g2h3 c8h8 h7g6 f7e5,1500,76,95,1270,crushing endgame short,https://lichess.org/XhQRAtQS/black#62,,,4
ZQgXt,8/8/5k2/pr3P2/R5KP/8/8/8 w - - 1 43,a4f4 b5b4 g4f3 b4f4 f3f4 a5a4,1327,77,86,1084,crushing defensiveMove endgame long rookEndgame,https://lichess.org/eVVa7Bio#85,,,6
exmS9,2R2bk1/Br2pp1p/3p2p1/1q1P4/3Q4/5P2/1P4PP/6K1 b - - 3 26,b5e2 c8f8 g8f8 d4h8,1134,81,95,805,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/GwRYR6fL/black#52,,,4
qH2pX,7r/3k1p2/R7/2P1pPp1/4n1P1/8/4B1K1/8 b - - 2 39,e4c5 e2b5 d7c7 a6c6 c7d8 c6c5,1225,76,89,1745,advantage endgame exposedKing fork long,https://lichess.org/zP15Ivve/black#78,,,6
6eE4G,7r/1b1p4/1p2p1k1/p4p2/PP5q/3B1PpP/2P3K1/Q6R b - - 0 29,h4b4 a1h8 b4d2 g2g3,1192,76,93,464,crushing endgame hangingPiece short,https://lichess.org/lirOi12U/black#58,,,4
ENUe5,8/5P2/7R/8/2p3P1/2k4P/7r/2K5 w - - 1 57,f7f8q h2h1 f8f1 h1f1,1073,120,83,24,endgame mate mateIn2 queenRookEndgame short,https://lichess.org/ncEU8Rjg#113,,,4
LM6K8,2kr1r2/1pp3p1/4p2p/1R1pN3/4n3/2P1Q2P/q4PP1/1R4K1 b - - 1 27,a2f2 e3f2 f8f2 b5b7 f2f1 g1f1,1329,74,83,190,advantage long middlegame,https://lichess.org/FFjHjawR/black#54,,,6
KeyMP,r3kb1r/ppqn1pp1/4R2p/3B2B1/8/7P/PPP2PP1/R2Q2K1 b kq - 0 15,f7e6 d1h5 g7g6 h5g6,1220,80,85,1569,mate mateIn2 middlegame short,https://lichess.org/Z7gtggop/black#30,Scandinavian_Defense Scandinavian_Defense_Schiller-Pytel_Variation,,4
dwksv,8/8/2Bk3p/8/3K1P2/P3p1P1/7P/8 w - - 0 60,d4e4 e3e2 e4d3 e2e1q,1028,81,99,1008,advancedPawn bishopEndgame crushing endgame master promotion short,https://lichess.org/o4lebM2H#119,,,4
kaGZd,6k1/1b3r1p/p3pP1P/1p2P1p1/4p3/P2rPnQN/qP6/2B3RK b - - 1 31,g8f8 h3g5 f3g5 g3g5,1071,75,99,1806,crushing middlegame short,https://lichess.org/Jt0C1OP9/black#62,,,4
0MYzS,r5k1/1pp2ppp/p1q2n2/2Pp1p2/3Pn3/1BNQP3/PP3PPr/R4RK1 w - - 0 18,g1h2 f6g4 h2g1 c6h6,1308,76,100,2279,clearance crushing middlegame short,https://lichess.org/HbPqDrmp#35,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,,4
0oxSX,6k1/5ppp/2B5/1pp5/2b1K3/P1P3P1/7P/8 b - - 3 30,f7f6 c6d5 g8f8 d5c4,1008,85,53,75,advantage bishopEndgame endgame short,https://lichess.org/8MFmjCmS/black#60,,,4
vHJgB,r2qr1k1/pb3ppp/1p6/3p4/3P4/P1PB4/1P4PP/R2Q1RK1 b - - 0 15,e8e3 d3h7 g8h7 d1h5 h7g8 h5f7,1234,78,88,238,attraction crushing kingsideAttack long middlegame sacrifice,https://lichess.org/75kNXrdD/black#30,Owen_Defense Owen_Defense_Other_variations,,6
oJNxA,8/8/2p1k1p1/p1p4p/P1P1pP1P/1P6/5KP1/8 w - - 0 39,f2e3 e6f5 g2g3 f5g4 e3e4 g4g3,1169,78,90,243,crushing endgame long pawnEndgame zugzwang,https://lichess.org/kRhlL6AG#77,,,6
F1tbl,1k1r3r/1pp1b1pp/p2pP3/5B2/P1P5/4BQ1P/1q4P1/4R1K1 b - - 0 20,g7g6 e1b1 b2b1 f5b1,1467,78,92,4021,advantage middlegame short,https://lichess.org/FWcSqe5k/black#40,,,4
aaMLU,8/7p/8/5K2/1R4pk/4n3/P7/8 w - - 4 65,f5f4 e3d5 f4e4 d5b4,1002,78,81,283,crushing endgame fork master short,https://lichess.org/RxugJpLg#129,,,4
aSSuO,8/2r2pk1/R3P3/3pP3/3P2B1/3K4/2n5/8 w - - 0 44,e6f7 c2b4 d3d2 b4a6,1137,89,92,1014,advantage endgame fork short,https://lichess.org/9cgS0E0L#87,,,4
g003r,1r1r3k/p5pp/2P2b2/8/8/7P/PP2RPP1/R5K1 b - - 0 22,d8d6 c6c7 b8f8 a1c1,1405,111,89,19,advancedPawn advantage defensiveMove endgame short,https://lichess.org/lGbXd88j/black#44,,,4
3mw2H,5Q2/7R/1q4p1/5b2/5P2/P1p3kP/6P1/7K w - - 1 47,f8e7 b6b1 e7e1 b1e1,1077,95,82,72,endgame mate mateIn2 short,https://lichess.org/WvECXHyP#93,,,4
gvXyG,8/6pp/8/1R1p4/P2k1r2/8/4K3/8 b - - 1 42,h7h5 b5b4 d4e5 b4f4 e5f4 a4a5,1362,75,95,3038,crushing defensiveMove endgame long rookEndgame,https://lichess.org/KJQxhr8C/black#84,,,6
Uv7kU,r1bq1rk1/ppp1bpp1/3p1n1p/8/2BQP2B/2N5/PPP2PPP/R3K2R w KQ - 0 10,c3d5 f6d5 c4d5 e7h4,1043,89,93,490,crushing discoveredAttack middlegame short,https://lichess.org/yEUwZudS#19,Scotch_Game Scotch_Game_Other_variations,,4
aBXqN,5k2/3br3/p2p3p/2pP3B/PpP2pP1/1P3K2/8/4R3 w - - 8 40,e1e7 f8e7 f3f4 e7f6,1184,78,60,63,crushing defensiveMove endgame short,https://lichess.org/IPdqdG6z#79,,,4
zXZ9i,5r2/kpp3pp/1b4q1/1B6/1P3p2/P6P/2P1QPP1/3R1RK1 w - - 3 25,a3a4 f4f3 e2f3 f8f3,1084,76,99,683,advantage middlegame pin short,https://lichess.org/NAgjAwR5#49,,,4
Pqbsz,3r4/4r1k1/p4p2/Pp2P1pp/1Pp2P2/2P1R1P1/4RK2/8 b - - 0 36,g5f4 e5f6 g7f6 e3e7,1280,84,92,1173,crushing discoveredAttack endgame master rookEndgame short,https://lichess.org/QeMLOIdw/black#72,,,4
nDHLe,2krb2r/ppq1b1Q1/2p1p2p/3pP3/P2P4/2PBP3/2P3PP/1R3RK1 b - - 2 22,h8f8 f1f8 e7f8 g7f8,1119,90,94,869,advantage master middlegame short,https://lichess.org/1aHes0N6/black#44,,,4
p71tE,4k3/1R6/7N/5K2/6P1/1p1n1P2/1r6/8 w - - 4 52,f5e6 d3c5 e6f6 c5b7,1042,96,94,1924,crushing endgame fork short,https://lichess.org/a4aTW4Z9#103,,,4
r0UmS,5r2/4r1k1/1p1p2p1/1Np1pq2/2P5/1P4Pp/P3Pn1P/R3QRK1 b - - 3 27,e7f7 b5d6 f5e6 d6f7,1044,202,65,5,crushing fork middlegame short,https://lichess.org/kc6UkGa1/black#54,,,4
LciSp,r2qr3/p4pkp/2p1pnp1/3pQ1B1/1b1P1PP1/2N4P/PPP5/2KR3R b - - 0 18,b4d6 g5f6 d8f6 e5d6,1302,81,85,39,crushing fork middlegame short,https://lichess.org/f5N8zAOP/black#36,Caro-Kann_Defense Caro-Kann_Defense_Exchange_Variation,,4
